ModeOfTransport,Name,Type,Month,Year,PassengerCount
Bus,Outer Sydney Metro Contract 6,School Student,Nov,2017,"102,667"
Bus,Outer Sydney Metro Contract 6,School Student,Nov,2018,"126,399"
Bus,Outer Sydney Metro Contract 6,School Student,Dec,2016,"30,264"
Bus,Outer Sydney Metro Contract 6,School Student,Dec,2017,"37,948"
Bus,Outer Sydney Metro Contract 6,School Student,Dec,2018,"60,450"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jan,2017,"113,532"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jan,2018,"116,837"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jan,2019,"118,968"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Feb,2017,"115,973"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Feb,2018,"118,364"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Feb,2019,"120,985"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Mar,2017,"128,766"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Mar,2018,"129,033"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Apr,2017,"113,005"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Apr,2018,"119,555"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,May,2017,"131,014"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,May,2018,"133,781"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jun,2017,"116,721"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jun,2018,"116,525"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jul,2016,"114,901"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jul,2017,"123,107"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Jul,2018,"126,184"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Aug,2016,"115,397"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Aug,2017,"127,633"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Aug,2018,"130,947"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Sep,2016,"103,444"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Sep,2017,"123,582"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Sep,2018,"102,815"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Oct,2016,"123,785"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Oct,2017,"125,118"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Oct,2018,"121,376"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Nov,2016,"130,755"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Nov,2017,"131,079"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Nov,2018,"127,657"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Dec,2016,"121,716"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Dec,2017,"119,467"
Bus,Outer Sydney Metro Contract 6,Senior/Pensioner,Dec,2018,"119,183"
Bus,Outer Sydney Metro Contract 6,Day Pass Child/Youth w/o SAF,Oct,2017,6
Bus,Outer Sydney Metro Contract 6,Day Pass Child/Youth w/o SAF,Nov,2018,2
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Jan,2019,85
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Feb,2019,37
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Mar,2018,23
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Apr,2018,10
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,May,2018,10
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Jun,2018,23
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Jul,2018,34
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Aug,2018,41
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Sep,2017,7
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Sep,2018,23
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Oct,2017,2
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Oct,2018,28
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Nov,2017,1
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Nov,2018,46
Bus,Outer Sydney Metro Contract 6,Day Pass without SAF,Dec,2018,32
Bus,Outer Sydney Metro Contract 7,Adult,Jan,2017,"34,481"
Bus,Outer Sydney Metro Contract 7,Adult,Jan,2018,"38,718"
Bus,Outer Sydney Metro Contract 7,Adult,Jan,2019,"42,122"
Bus,Outer Sydney Metro Contract 7,Adult,Feb,2017,"35,754"
Bus,Outer Sydney Metro Contract 7,Adult,Feb,2018,"40,177"
Bus,Outer Sydney Metro Contract 7,Adult,Feb,2019,"43,015"
Bus,Outer Sydney Metro Contract 7,Adult,Mar,2017,"40,164"
Bus,Outer Sydney Metro Contract 7,Adult,Mar,2018,"42,041"
Bus,Outer Sydney Metro Contract 7,Adult,Apr,2017,"35,590"
Bus,Outer Sydney Metro Contract 7,Adult,Apr,2018,"40,410"
Bus,Outer Sydney Metro Contract 7,Adult,May,2017,"40,522"
Bus,Outer Sydney Metro Contract 7,Adult,May,2018,"44,810"
Bus,Outer Sydney Metro Contract 7,Adult,Jun,2017,"37,459"
Bus,Outer Sydney Metro Contract 7,Adult,Jun,2018,"39,680"
Bus,Outer Sydney Metro Contract 7,Adult,Jul,2016,"40,425"
Bus,Outer Sydney Metro Contract 7,Adult,Jul,2017,"39,214"
Bus,Outer Sydney Metro Contract 7,Adult,Jul,2018,"42,414"
Bus,Outer Sydney Metro Contract 7,Adult,Aug,2016,"37,010"
Bus,Outer Sydney Metro Contract 7,Adult,Aug,2017,"40,012"
